split,aug_index,aug_set_name,source_set,source_name,source_angle,aug_type
train,77,aug_train_77,48,set_48,left,Brightness
train,78,aug_train_78,49,set_49,right,Equalize
train,79,aug_train_79,52,set_52,up,RGBShift
train,80,aug_train_80,54,set_54,right,Perspective
train,81,aug_train_81,55,set_55,down,Equalize
train,82,aug_train_82,56,set_56,normal,GaussNoise
train,83,aug_train_83,58,set_58,left,Downsample
train,84,aug_train_84,59,set_59,right,Sharpen
train,85,aug_train_85,7,set_07,normal,ProcessCroppedImage
train,86,aug_train_86,4,set_04,up,Translate
train,87,aug_train_87,42,set_42,up,GaussNoise
train,88,aug_train_88,17,set_17,normal,Rotate
train,89,aug_train_89,3,set_03,normal,TemporalShift
train,90,aug_train_90,22,set_22,up,Brightness
train,91,aug_train_91,59,set_59,right,Scale
train,92,aug_train_92,20,set_20,right,GaussianBlur
train,93,aug_train_93,1,set_01,unknown,Translate
train,94,aug_train_94,58,set_58,left,Sharpen
train,95,aug_train_95,33,set_33,left,Rotate
train,96,aug_train_96,29,set_29,right,Equalize
validation,1,aug_validation_01,9,set_09,left,GaussianBlur
validation,2,aug_validation_02,11,set_11,unknown,OpticalDistortion
validation,3,aug_validation_03,15,set_15,right,Brightness
validation,4,aug_validation_04,27,set_27,up,Translate
validation,5,aug_validation_05,36,set_36,normal,ProcessCroppedImage
validation,6,aug_validation_06,44,set_44,right,Perspective
validation,7,aug_validation_07,50,set_50,down,RGBShift
validation,8,aug_validation_08,53,set_53,left,Rotate
validation,9,aug_validation_09,57,set_57,up,Scale
validation,10,aug_validation_10,50,set_50,down,Downsample
validation,11,aug_validation_11,9,set_09,left,GaussNoise
test,1,aug_test_01,10,set_10,right,RGBShift
test,2,aug_test_02,18,set_18,up,Rotate
test,3,aug_test_03,23,set_23,left,Equalize
test,4,aug_test_04,26,set_26,normal,Scale
test,5,aug_test_05,30,set_30,down,Translate
test,6,aug_test_06,34,set_34,right,HorizontalFlip
test,7,aug_test_07,41,set_41,normal,GaussNoise
test,8,aug_test_08,51,set_51,normal,Perspective
test,9,aug_test_09,60,set_60,down,GaussianBlur
test,10,aug_test_10,18,set_18,up,Downsample
test,11,aug_test_11,34,set_34,right,OpticalDistortion
